type,city,district,session,name,photo,party,gender,age,education,hair,opinion,lat,lon
分區立委,台北市,第1選區,北投區 士林區13里,丁守中,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-1-%E4%B8%81%E5%AE%88%E4%B8%AD.jpg,中國國民黨,M,62,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303145313031363130383633,25.206547,121.560491
分區立委,台北市,第1選區,,吳思瑤,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-2-%E5%90%B3%E6%80%9D%E7%91%A4.jpg,民主進步黨,F,42,碩士,中,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146323233333434373336,25.206547,121.560491
分區立委,台北市,第2選區,大同區 士林區38里,潘懷宗,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-5-%E6%BD%98%E6%87%B7%E5%AE%97.jpg,新黨,M,55,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303159313230323732363238,25.133837,121.544698
分區立委,台北市,第2選區,,姚文智,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-6-%E5%A7%9A%E6%96%87%E6%99%BA.jpg,民主進步黨,M,51,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303159313230323237373934,25.133837,121.544698
分區立委,台北市,第3選區,中山區 松山區20里,蔣萬安,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC3%E9%81%B8%E8%88%89%E5%8D%80-10-%E8%94%A3%E8%90%AC%E5%AE%89.jpg,中國國民黨,M,38,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141313230383731383436,25.062951,121.585897
分區立委,台北市,第3選區,,潘建志,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC3%E9%81%B8%E8%88%89%E5%8D%80-2-%E6%BD%98%E5%BB%BA%E5%BF%97.jpg,無黨籍,M,50,大學,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314e313230373339383533,25.062951,121.585897
分區立委,台北市,第4選區,內湖區 南港區,黃珊珊,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC4%E9%81%B8%E8%88%89%E5%8D%80-3-%E9%BB%83%E7%8F%8A%E7%8F%8A.jpg,親民黨,F,47,大學,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c323230393933323638,25.065439,121.658682
分區立委,台北市,第4選區,,李彥秀,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC4%E9%81%B8%E8%88%89%E5%8D%80-6-%E6%9D%8E%E5%BD%A5%E7%A7%80.jpg,中國國民黨,F,45,大學,長,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141323233353939343530,25.065439,121.658682
分區立委,台北市,第5選區,萬華區 中正區21里,林昶佐,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC5%E9%81%B8%E8%88%89%E5%8D%80-6-%E6%9E%97%E6%98%B6%E4%BD%90.jpg,時代力量,M,40,大學,長,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141313239343033323238,25.016292,121.490453
分區立委,台北市,第5選區,,林郁方,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC5%E9%81%B8%E8%88%89%E5%8D%80-1-%E6%9E%97%E9%83%81%E6%96%B9.jpg,中國國民黨,M,65,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303153313032363430353632,25.016292,121.490453
