type,city,district,session,name,photo,party,gender,age,education,hair,opinion,lat,lon
分區立委,台北市,第1選區,,吳思瑤,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-2-%E5%90%B3%E6%80%9D%E7%91%A4.jpg,民主進步黨,F,42,碩士,中,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146323233333434373336,25.39232,121.43603
分區立委,台北市,第2選區,,姚文智,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-6-%E5%A7%9A%E6%96%87%E6%99%BA.jpg,民主進步黨,M,51,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303159313230323237373934,25.3253,121.69282
分區立委,台北市,第3選區,中山區 松山區20里,蔣萬安,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC3%E9%81%B8%E8%88%89%E5%8D%80-10-%E8%94%A3%E8%90%AC%E5%AE%89.jpg,中國國民黨,M,38,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141313230383731383436,25.25082,121.56441
分區立委,台北市,第4選區,,李彥秀,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC4%E9%81%B8%E8%88%89%E5%8D%80-6-%E6%9D%8E%E5%BD%A5%E7%A7%80.jpg,中國國民黨,F,45,大學,長,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141323233353939343530,25.14395,121.85828
分區立委,台北市,第5選區,萬華區 中正區21里,林昶佐,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC5%E9%81%B8%E8%88%89%E5%8D%80-6-%E6%9E%97%E6%98%B6%E4%BD%90.jpg,時代力量,M,40,大學,長,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141313239343033323238,25.09677,121.53008
分區立委,台北市,第6選區,,蔣乃辛,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC6%E9%81%B8%E8%88%89%E5%8D%80-10-%E8%94%A3%E4%B9%83%E8%BE%9B.jpg,中國國民黨,M,68,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141313032383238363738,24.94006,121.74362
分區立委,台北市,第7選區,信義區 松山區13里,費鴻泰,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC7%E9%81%B8%E8%88%89%E5%8D%80-7-%E8%B2%BB%E9%B4%BB%E6%B3%B0.jpg,中國國民黨,M,62,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141313032363436393334,25.13282,121.70586
分區立委,台北市,第8選區,文山區 中正區10里,賴士葆,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC8%E9%81%B8%E8%88%89%E5%8D%80-4-%E8%B3%B4%E5%A3%AB%E8%91%86.jpg,中國國民黨,M,65,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303142313030353435333535,24.71454,121.7292
分區立委,新北市,第1選區,,呂孫綾,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-4-%E5%91%82%E5%AD%AB%E7%B6%BE.jpg,民主進步黨,F,28,碩士,長,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146323236393339313032,25.51997,121.57336
分區立委,新北市,第2選區,五股區 蘆洲區 三重區16里,林淑芬,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-2-%E6%9E%97%E6%B7%91%E8%8A%AC.jpg,民主進步黨,F,43,其他,中,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314e323231363938393739,25.30231,121.31586
