city,district,district_name,lat,lon
台北市,第1選區,北投區 士林區13里,25.39232,121.43603
台北市,第2選區,大同區 士林區38里,25.3253,121.69282
台北市,第3選區,中山區 松山區20里,25.25082,121.56441
台北市,第4選區,內湖區 南港區,25.14395,121.85828
台北市,第5選區,萬華區 中正區21里,25.09677,121.53008
台北市,第6選區,大安區,24.94006,121.74362
台北市,第7選區,信義區 松山區13里,25.13282,121.70586
台北市,第8選區,文山區 中正區10里,24.71454,121.7292
新北市,第1選區,石門區 三芝區 淡水區 八里區 林口區 泰山區,25.51997,121.57336
新北市,第2選區,五股區 蘆洲區 三重區16里,25.30231,121.31586
新北市,第3選區,三重區103里,25.20238,121.41885
新北市,第4選區,新莊區75里,25.11354,121.31104
新北市,第5選區,樹林區 鶯歌區 新莊區9里,24.87903,121.44011
新北市,第6選區,板橋區（縣民大道 湳仔溝以西）65里,25.03909,121.41677
新北市,第7選區,板橋區（縣民大道 湳仔溝以東）61里,24.93101,121.56767
新北市,第8選區,中和區76里,24.60619,121.5563
新北市,第9選區,永和區 中和區17里,24.77332,121.59941
新北市,第10選區,土城區 三峽區,24.71769,121.40371
新北市,第11選區,新店區 深坑區 石碇區 坪林區 烏來區,24.92256,121.95443
新北市,第12選區,金山區 萬里區 汐止區 平溪區 瑞芳區 雙溪區 貢寮區,25.35508,121.94757
台中市,第1選區,大甲區 大安區 外埔區 清水區 梧棲區,24.32707,120.55229
台中市,第2選區,沙鹿鎮 龍井鄉 大肚鄉 烏日鄉 霧峰 大里市2里,24.02702,120.67657
台中市,第3選區,后里區 神岡區 大雅區 潭子區,24.3577,120.84068
台中市,第4選區,西屯區 南屯區,24.16054,120.4898
台中市,第5選區,北屯區 北區,24.28694,120.72738
台中市,第6選區,西區 中區 東區 南區,24.18994,120.62713
台中市,第7選區,太平區 大里區25里,24.03584,120.83381
台中市,第8選區,豐原區 石岡區 新社區 東勢區 和平區,24.21816,120.98625
台南市,第1選區,後壁區 白河區 北門區 學甲區 鹽水區 新營區 柳營區 東山區 將軍區 下營區 六甲區 官田區,23.29685,120.10597
台南市,第2選區,七股區 佳里區 麻豆區 善化區 大內區 玉井區 楠西區 西港區 安定區 新市區 山上區 新化區 左鎮區 南化區,23.11889,120.46714
台南市,第3選區,安南區 北區 中西區,23.15292,120.23438
台南市,第4選區,安平區 南區 東區,23.0563,120.08332
台南市,第5選區,永康區 仁德區 歸仁區 關廟區 龍崎區,23.01275,120.382
高雄市,第1選區,那瑪夏區 桃源區 甲仙區 內門區 杉林區 六龜區 阿蓮區 田寮區 旗山區 美濃區 茂林區 燕巢區 大社區 大樹區,22.95396,120.69168
高雄市,第2選區,茄萣區 湖內區 路竹區 永安區 岡山區 彌陀區 梓官區 橋頭區,22.87744,120.18768
高雄市,第3選區,楠梓區 左營區,22.72362,120.18218
高雄市,第4選區,仁武區 鳥松區 大寮區 林園區,22.38506,120.42319
高雄市,第5選區,鼓山區 鹽埕區 旗津區 三民區42里,22.50879,120.21171
高雄市,第6選區,三民區45里,22.70396,120.50972
高雄市,第7選區,前金區 新興區 苓雅區 前鎮區8里,22.76281,120.35797
高雄市,第8選區,鳳山區,22.58294,120.37376
高雄市,第9選區,前鎮區51里 小港區,22.54301,120.5825
基隆市,全市,,25.16018,122.10206
宜蘭縣,全縣,,24.44777,121.98669
桃園縣,第1選區,蘆竹鄉 龜山鄉 桃園市10里,25.21165,121.1531
桃園縣,第2選區,大園鄉 觀音鄉 新屋鄉 楊梅市,24.97111,121.00959
桃園縣,第3選區,中壢市69里,24.91262,121.14142
桃園縣,第4選區,桃園市66里,25.03892,121.21353
桃園縣,第5選區,平鎮市 龍潭鄉,24.72758,121.21969
桃園縣,第6選區,八德市 大溪鎮 復興鄉 中壢市12里,24.89577,121.30142
新竹縣,全縣,,24.74371,121.09748
新竹市,全市,,24.82226,120.90866
苗栗縣,第1選區,竹南鎮 造橋鄉 後龍鎮 西湖鄉 通霄鎮 銅鑼鄉 苑裡鎮 三義鄉,24.57461,120.71639
苗栗縣,第2選區,頭份鎮 三灣鄉 南庄鄉 苗栗市 頭屋鄉 獅潭鄉 公館鄉 大湖鄉 泰安鄉 卓蘭鎮,24.48527,120.98419
彰化縣,第1選區,伸港鄉 線西鄉 和美鎮 鹿港鎮 福興鄉 秀水鄉,24.11788,120.29068
彰化縣,第2選區,彰化市 花壇鄉 芬園鄉,24.0167,120.42274
彰化縣,第3選區,芳苑鄉 二林鎮 埔鹽鄉 溪湖鎮 埔心鄉 大城鄉 竹塘鄉 埤頭鄉 北斗鎮 溪州鄉,23.77847,120.47675
彰化縣,第4選區,大村鄉 員林鎮 永靖鄉 社頭鄉 田尾鄉 田中鎮 二水鄉,23.87836,120.57975
南投縣,第1選區,草屯鎮 國姓鄉 埔里鎮 仁愛鄉 中寮鄉 魚池鄉,23.87202,120.92445
南投縣,第2選區,南投市 名間鄉 集集鎮 竹山鎮 鹿谷鄉 水里鄉 信義鄉,23.84256,120.73357
雲林縣,第1選區,麥寮鄉 台西鄉 東勢鄉 褒忠鄉 土庫鎮 虎尾鎮 四湖鄉 元長鄉 口湖鄉 水林鄉 北港鎮,23.72061,120.16914
雲林縣,第2選區,崙背鄉 二崙鄉 西螺鎮 莿桐鄉 林內鄉 斗六市 大埤鄉 斗南鎮 古坑鄉,23.59859,120.57975
